Book,Chapter,RefID,Character
AGOT,1,AGOT1,Will
AGOT,2,AGOT2,Bran
AGOT,3,AGOT3,Catelyn
AGOT,4,AGOT4,Daenerys
AGOT,5,AGOT5,Eddard
AGOT,6,AGOT6,Jon
AGOT,7,AGOT7,Catelyn
AGOT,8,AGOT8,Arya
AGOT,9,AGOT9,Bran
AGOT,10,AGOT10,Tyrion
AGOT,11,AGOT11,Jon
AGOT,12,AGOT12,Daenerys
AGOT,13,AGOT13,Eddard
AGOT,14,AGOT14,Tyrion
AGOT,15,AGOT15,Catelyn
AGOT,16,AGOT16,Sansa
AGOT,17,AGOT17,Eddard
AGOT,18,AGOT18,Bran
AGOT,19,AGOT19,Catelyn
AGOT,20,AGOT20,Jon
AGOT,21,AGOT21,Eddard
AGOT,22,AGOT22,Tyrion
AGOT,23,AGOT23,Arya
AGOT,24,AGOT24,Daenerys
AGOT,25,AGOT25,Bran
AGOT,26,AGOT26,Eddard
AGOT,27,AGOT27,Jon
AGOT,28,AGOT28,Eddard
AGOT,29,AGOT29,Catelyn
AGOT,30,AGOT30,Sansa
AGOT,31,AGOT31,Eddard
AGOT,32,AGOT32,Tyrion
AGOT,33,AGOT33,Arya
AGOT,34,AGOT34,Eddard
AGOT,35,AGOT35,Catelyn
AGOT,36,AGOT36,Eddard
AGOT,37,AGOT37,Daenerys
AGOT,38,AGOT38,Bran
AGOT,39,AGOT39,Tyrion
AGOT,40,AGOT40,Eddard
AGOT,41,AGOT41,Catelyn
AGOT,42,AGOT42,Jon
AGOT,43,AGOT43,Tyrion
AGOT,44,AGOT44,Eddard
AGOT,45,AGOT45,Sansa
AGOT,46,AGOT46,Eddard
AGOT,47,AGOT47,Daenerys
AGOT,48,AGOT48,Eddard
AGOT,49,AGOT49,Jon
AGOT,50,AGOT50,Eddard
AGOT,51,AGOT51,Arya
AGOT,52,AGOT52,Sansa
AGOT,53,AGOT53,Jon
AGOT,54,AGOT54,Bran
AGOT,55,AGOT55,Daenerys
AGOT,56,AGOT56,Catelyn
AGOT,57,AGOT57,Tyrion
AGOT,58,AGOT58,Sansa
AGOT,59,AGOT59,Eddard
AGOT,60,AGOT60,Catelyn
AGOT,61,AGOT61,Jon
AGOT,62,AGOT62,Daenerys
AGOT,63,AGOT63,Tyrion
AGOT,64,AGOT64,Catelyn
AGOT,65,AGOT65,Daenerys
AGOT,66,AGOT66,Arya
AGOT,67,AGOT67,Bran
AGOT,68,AGOT68,Sansa
AGOT,69,AGOT69,Daenerys
AGOT,70,AGOT70,Tyrion
AGOT,71,AGOT71,Jon
AGOT,72,AGOT72,Catelyn
AGOT,73,AGOT73,Daenerys
ACOK,1,ACOK1,Cressen
ACOK,2,ACOK2,Arya
ACOK,3,ACOK3,Sansa
ACOK,4,ACOK4,Tyrion
ACOK,5,ACOK5,Bran
ACOK,6,ACOK6,Arya
ACOK,7,ACOK7,Jon
ACOK,8,ACOK8,Catelyn
ACOK,9,ACOK9,Tyrion
ACOK,10,ACOK10,Arya
ACOK,11,ACOK11,Davos
ACOK,12,ACOK12,Theon
ACOK,13,ACOK13,Daenerys
ACOK,14,ACOK14,Jon
ACOK,15,ACOK15,Arya
ACOK,16,ACOK16,Tyrion
ACOK,17,ACOK17,Bran
ACOK,18,ACOK18,Tyrion
ACOK,19,ACOK19,Sansa
ACOK,20,ACOK20,Arya
ACOK,21,ACOK21,Tyrion
ACOK,22,ACOK22,Bran
ACOK,23,ACOK23,Catelyn
ACOK,24,ACOK24,Jon
ACOK,25,ACOK25,Theon
ACOK,26,ACOK26,Tyrion
ACOK,27,ACOK27,Arya
ACOK,28,ACOK28,Daenerys
ACOK,29,ACOK29,Bran
ACOK,30,ACOK30,Tyrion
ACOK,31,ACOK31,Arya
ACOK,32,ACOK32,Catelyn
ACOK,33,ACOK33,Sansa
ACOK,34,ACOK34,Catelyn
ACOK,35,ACOK35,Jon
ACOK,36,ACOK36,Bran
ACOK,37,ACOK37,Tyrion
ACOK,38,ACOK38,Theon
ACOK,39,ACOK39,Arya
ACOK,40,ACOK40,Catelyn
ACOK,41,ACOK41,Daenerys
ACOK,42,ACOK42,Tyrion
ACOK,43,ACOK43,Davos
ACOK,44,ACOK44,Jon
ACOK,45,ACOK45,Tyrion
ACOK,46,ACOK46,Catelyn
ACOK,47,ACOK47,Bran
ACOK,48,ACOK48,Arya
ACOK,49,ACOK49,Daenerys
ACOK,50,ACOK50,Tyrion
ACOK,51,ACOK51,Theon
ACOK,52,ACOK52,Jon
ACOK,53,ACOK53,Sansa
ACOK,54,ACOK54,Jon
ACOK,55,ACOK55,Tyrion
ACOK,56,ACOK56,Catelyn
ACOK,57,ACOK57,Theon
ACOK,58,ACOK58,Sansa
ACOK,59,ACOK59,Davos
ACOK,60,ACOK60,Tyrion
ACOK,61,ACOK61,Sansa
ACOK,62,ACOK62,Tyrion
ACOK,63,ACOK63,Sansa
ACOK,64,ACOK64,Daenerys
ACOK,65,ACOK65,Arya
ACOK,66,ACOK66,Sansa
ACOK,67,ACOK67,Theon
ACOK,68,ACOK68,Tyrion
ACOK,69,ACOK69,Jon
ACOK,70,ACOK70,Bran
ASOS,1,ASOS1,Chett
ASOS,2,ASOS2,Jaime
ASOS,3,ASOS3,Catelyn
ASOS,4,ASOS4,Arya
ASOS,5,ASOS5,Tyrion
ASOS,6,ASOS6,Davos
ASOS,7,ASOS7,Sansa
ASOS,8,ASOS8,Jon
ASOS,9,ASOS9,Daenerys
ASOS,10,ASOS10,Bran
ASOS,11,ASOS11,Davos
ASOS,12,ASOS12,Jaime
ASOS,13,ASOS13,Tyrion
ASOS,14,ASOS14,Arya
ASOS,15,ASOS15,Catelyn
ASOS,16,ASOS16,Jon
ASOS,17,ASOS17,Sansa
ASOS,18,ASOS18,Arya
ASOS,19,ASOS19,Samwell
ASOS,20,ASOS20,Tyrion
ASOS,21,ASOS21,Catelyn
ASOS,22,ASOS22,Jaime
ASOS,23,ASOS23,Arya
ASOS,24,ASOS24,Daenerys
ASOS,25,ASOS25,Bran
ASOS,26,ASOS26,Davos
ASOS,27,ASOS27,Jon
ASOS,28,ASOS28,Daenerys
ASOS,29,ASOS29,Sansa
ASOS,30,ASOS30,Arya
ASOS,31,ASOS31,Jon
ASOS,32,ASOS32,Jaime
ASOS,33,ASOS33,Tyrion
ASOS,34,ASOS34,Samwell
ASOS,35,ASOS35,Arya
ASOS,36,ASOS36,Catelyn
ASOS,37,ASOS37,Davos
ASOS,38,ASOS38,Jaime
ASOS,39,ASOS39,Tyrion
ASOS,40,ASOS40,Arya
ASOS,41,ASOS41,Bran
ASOS,42,ASOS42,Jon
ASOS,43,ASOS43,Daenerys
ASOS,44,ASOS44,Arya
ASOS,45,ASOS45,Jaime
ASOS,46,ASOS46,Catelyn
ASOS,47,ASOS47,Samwell
ASOS,48,ASOS48,Arya
ASOS,49,ASOS49,Jon
ASOS,50,ASOS50,Catelyn
ASOS,51,ASOS51,Arya
ASOS,52,ASOS52,Catelyn
ASOS,53,ASOS53,Arya
ASOS,54,ASOS54,Tyrion
ASOS,55,ASOS55,Davos
ASOS,56,ASOS56,Jon
ASOS,57,ASOS57,Bran
ASOS,58,ASOS58,Daenerys
ASOS,59,ASOS59,Tyrion
ASOS,60,ASOS60,Sansa
ASOS,61,ASOS61,Tyrion
ASOS,62,ASOS62,Sansa
ASOS,63,ASOS63,Jaime
ASOS,64,ASOS64,Davos
ASOS,65,ASOS65,Jon
ASOS,66,ASOS66,Arya
ASOS,67,ASOS67,Tyrion
ASOS,68,ASOS68,Jaime
ASOS,69,ASOS69,Sansa
ASOS,70,ASOS70,Jon
ASOS,71,ASOS71,Tyrion
ASOS,72,ASOS72,Daenerys
ASOS,73,ASOS73,Jaime
ASOS,74,ASOS74,Jon
ASOS,75,ASOS75,Arya
ASOS,76,ASOS76,Samwell
ASOS,77,ASOS77,Jon
ASOS,78,ASOS78,Tyrion
ASOS,79,ASOS79,Samwell
ASOS,80,ASOS80,Jon
ASOS,81,ASOS81,Sansa
ASOS,82,ASOS82,Merrett
AFFC,1,AFFC1,Pate
AFFC,2,AFFC2,Aeron
AFFC,3,AFFC3,Areo
AFFC,4,AFFC4,Cersei
AFFC,5,AFFC5,Brienne
AFFC,6,AFFC6,Samwell
