Book,Chapter,Num_1_Ratings,Num_2_Ratings,Num_3_Ratings,Num_4_Ratings,Num_5_Ratings,Num_6_Ratings,Num_7_Ratings,Num_8_Ratings,Num_9_Ratings,Num_10_Ratings,Votes,Weighted_Sum,Rating
AGOT,1,0,0,0,0,1,3,8,33,31,71,147,1332,9.06122449
AGOT,2,0,0,1,0,1,7,9,35,40,29,122,1043,8.549180328
AGOT,3,0,0,1,1,8,12,27,42,10,8,109,814,7.467889908
AGOT,4,0,0,0,2,3,8,36,38,11,9,107,816,7.626168224
AGOT,5,0,0,0,0,1,3,14,35,36,16,105,885,8.428571429
AGOT,6,1,0,0,0,3,3,12,34,34,24,111,936,8.432432432
AGOT,7,1,0,0,1,3,11,39,33,18,5,111,835,7.522522523
AGOT,8,0,0,1,1,1,5,19,35,29,18,109,896,8.220183486
AGOT,9,1,1,0,1,0,1,6,20,32,49,111,993,8.945945946
AGOT,10,1,0,0,0,0,4,9,30,36,30,110,952,8.654545455
AGOT,11,0,0,0,2,1,3,15,26,25,19,91,759,8.340659341
AGOT,12,0,0,1,1,3,5,25,23,12,19,89,709,7.966292135
AGOT,13,0,0,1,1,1,6,16,29,23,11,88,709,8.056818182
AGOT,14,1,0,1,0,0,1,16,26,25,20,90,755,8.388888889
AGOT,15,2,1,1,2,0,8,16,26,12,17,85,661,7.776470588
AGOT,16,0,0,1,1,2,9,21,28,12,8,82,630,7.682926829
AGOT,17,0,0,0,0,0,2,8,38,19,14,81,683,8.432098765
AGOT,18,0,0,0,0,2,2,10,15,26,25,80,696,8.7
AGOT,19,1,0,1,0,4,9,19,24,10,8,76,573,7.539473684
AGOT,20,0,1,0,0,2,1,10,25,20,20,79,668,8.455696203
AGOT,21,0,0,0,0,1,4,18,21,18,18,80,665,8.3125
AGOT,22,0,0,0,0,0,2,13,31,15,19,80,676,8.45
AGOT,23,0,0,0,1,2,3,11,27,18,17,79,657,8.316455696
AGOT,24,1,0,0,0,2,7,14,22,12,17,75,605,8.066666667
AGOT,25,0,0,0,0,0,6,14,28,16,11,75,612,8.16
AGOT,26,0,0,0,0,0,2,12,25,18,15,72,608,8.444444444
AGOT,27,2,0,1,0,1,3,11,26,15,15,74,598,8.081081081
AGOT,28,0,1,0,0,2,2,11,26,13,17,72,596,8.277777778
AGOT,29,2,0,0,2,1,4,17,18,12,17,73,580,7.945205479
AGOT,30,5,2,1,0,4,6,11,12,16,16,73,545,7.465753425
AGOT,31,0,0,0,1,1,0,5,14,24,24,69,612,8.869565217
AGOT,32,0,0,1,0,3,6,5,11,22,21,69,585,8.47826087
AGOT,33,1,0,0,1,2,0,6,17,19,26,72,624,8.666666667
